name,salary_from,salary_to,salary_currency,area_name,published_at
Сервисный инженер,55000,,RUR,,2022-12-22T06:33:50+0300
Руководитель проектов,100000,150000,RUR,Берёзовский,2022-12-22T06:26:00+0300
Фрезеровщик,80000,,RUR,Челябинск,2022-12-22T06:10:20+0300
Инженер по координации (Сервисный отдел),50000,80000,RUR,Новосибирск,2022-12-22T06:13:37+0300
Тимлид сектора развития 1С,,,,Алматы,2022-12-22T06:41:51+0300
Бизнес-аналитик,,,,Пермь,2022-12-22T06:47:56+0300
Аналитик BI,,,,Москва,2022-12-22T06:50:48+0300
Мастер сервисного обслуживания,26700,,RUR,Тамбов,2022-12-22T06:59:24+0300
Фрезеровщик,40000,,RUR,Челябинск,2022-12-22T06:47:27+0300
Junior С# (ASP.NET/Xamarin) Developer,,,,Новосибирск,2022-12-22T06:18:53+0300
"Инженер по обслуживанию ОПС, СКУД, Видеонаблюдения",50000,50000,RUR,Бийск,2022-12-22T06:29:17+0300
Тестировщик,,,,,2022-12-22T07:45:11+0300
Middle Frontend Разработчик (ReactJS + Redux),150000,,RUR,,2022-12-22T07:38:43+0300
Старший системный администратор,88000,,RUR,Нижний Новгород,2022-12-22T07:40:10+0300
Механик,350000,500000,KZT,,2022-12-22T07:29:46+0300
Системный администратор,200000,300000,KZT,Астана,2022-12-22T07:58:36+0300
HTML-верстальщик,,,,Екатеринбург,2022-12-22T07:37:29+0300
Мидл-разработчик Python,80000,,RUR,Новосибирск,2022-12-22T07:32:05+0300
Backend-разработчик Kotlin/Java (junior),40000,63000,RUR,Барнаул,2022-12-22T07:19:55+0300
Копирайтер,350000,600000,KZT,Алматы,2022-12-22T07:33:11+0300
Ведущий механик,120000,150000,RUR,Сусуман,2022-12-22T07:42:39+0300
Сервисный инженер,1000000,1000000,KZT,,2022-12-22T07:37:47+0300
Заливщик (форм ППУ),40000,60000,RUR,Челябинск,2022-12-22T07:20:41+0300
Главный механик,,110000,RUR,,2022-12-22T07:15:08+0300
Android - разработчик,80000,,RUR,Кемерово,2022-12-22T07:43:14+0300
Программист-разработчик,300000,350000,KZT,,2022-12-22T07:28:27+0300
Flutter-разработчик / Flutter-developer,120000,,RUR,,2022-12-22T07:55:22+0300
Системный администратор,230000,250000,KZT,Алматы,2022-12-22T07:03:40+0300
IТ-специалист,4000000,,UZS,Ташкент,2022-12-22T07:09:47+0300
Оператор станков с ЧПУ,90000,,RUR,Челябинск,2022-12-22T07:07:25+0300
Системный администратор,31000,37000,RUR,Ижевск,2022-12-22T07:48:14+0300
Механик по транспорту,,,,Томск,2022-12-22T07:19:28+0300
Дизайнер-график,,,,,2022-12-22T07:48:25+0300
Специалист поддержки систем электронного документооборота,,,,,2022-12-22T07:24:30+0300
UX/UI дизайнер,,,,Владивосток,2022-12-22T07:32:22+0300
Наладчик станков с ЧПУ,50000,,RUR,Самара,2022-12-22T07:50:47+0300
Технический директор,40000,80000,RUR,Уфа,2022-12-22T07:31:59+0300
Оператор-технолог станков с ЧПУ,80000,120000,RUR,Екатеринбург,2022-12-22T07:05:05+0300
Системный администратор,,10000,RUR,Тюмень,2022-12-22T07:50:42+0300
Руководитель проектов,90000,,RUR,Екатеринбург,2022-12-22T07:24:45+0300
Специалист по тестированию ПО (middle),140000,,RUR,Томск,2022-12-22T07:07:48+0300
Электромеханик по лифтам,40000,,RUR,Челябинск,2022-12-22T07:15:00+0300
React - разработчик | React Developer в продукт,,,,Томск,2022-12-22T07:16:39+0300
Веб-дизайнер,35000,50000,RUR,Челябинск,2022-12-22T07:32:22+0300
Программист 1C,115000,,RUR,Воронеж,2022-12-22T07:33:53+0300
Техник,,,,Нижневартовск,2022-12-22T07:49:51+0300
Арт дизайнер графический дизайнер,,,,,2022-12-22T07:01:01+0300
Специалист технической поддержки,30000,,RUR,,2022-12-22T07:28:33+0300
"Специалист по ремонту и обслуживанию холодильного, вентиляционного и теплового оборудования",300000,300000,RUR,,2022-12-22T07:06:03+0300
Журналист-копирайтер,5000000,,UZS,Ташкент,2022-12-22T07:11:16+0300
Геймдизайнер-балансировщик,,,,,2022-12-22T07:37:30+0300
Системный администратор,65000,,RUR,село Толмачево,2022-12-22T07:27:54+0300
Программист,80000,110000,RUR,Владивосток,2022-12-22T07:27:02+0300
Frontend-разработчик Vue (junior),40000,63000,RUR,Барнаул,2022-12-22T07:19:56+0300
Веб-дизайнер,,,,Владивосток,2022-12-22T07:27:01+0300
Токарь,2100,2500,BYR,Минск,2022-12-22T07:58:25+0300
Оператор лазерного трубореза с ЧПУ,60000,,RUR,Екатеринбург,2022-12-22T07:27:06+0300
Проектный менеджер(Project-менеджер),70000,,RUR,Екатеринбург,2022-12-22T07:10:35+0300
Геймдизайнер-балансировщик,,,,,2022-12-22T07:37:30+0300
Механизатор,45000,,RUR,,2022-12-22T07:43:55+0300
Программист 1C,1000,1500,USD,Бишкек,2022-12-22T07:40:57+0300
Оператор участка станков с ЧПУ,35000,50000,RUR,Тольятти,2022-12-22T07:18:57+0300
Системный администратор,45000,70000,RUR,Красноярск,2022-12-22T07:50:54+0300
Менеджер проектов веб-разработки,40000,70000,RUR,Ижевск,2022-12-22T07:56:37+0300
Менеджер по работе с Маркетплейсами,,,,,2022-12-22T07:27:21+0300
Бизнес-аналитик,130000,,RUR,Тольятти,2022-12-22T07:44:30+0300
Вальцовщик,50000,,RUR,Челябинск,2022-12-22T07:26:12+0300
FullStack Web разработчик,140000,,RUR,,2022-12-22T07:23:38+0300
Помощник дизайнера мебели,35000,65000,RUR,Екатеринбург,2022-12-22T07:02:21+0300
Геймдизайнер-балансировщик,,,,,2022-12-22T07:37:30+0300
Ведущий специалист персональной технической поддержки корпоративных клиентов и операторов связи,65000,,RUR,Москва,2022-12-22T07:33:41+0300
Сервисный инженер / мастер по ремонту ПК (Системный администратор),80000,87000,RUR,Владивосток,2022-12-22T07:09:47+0300
Директор департамента информационных технологий,,,,посёлок городского типа Берёзовка,2022-12-22T07:29:59+0300
